63, ဢတ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "ၽူႈၸၢႆးၵူၼ်းၵတ်ႉ မီးတၢင်းႁတ်းႁၢၼ် ၵတ်းၵေႃႈဢမ်ႇၵူဝ် ယႃႇပေၶတ်းမၼ်း လတ်းၵႂႃႇသိုဝ်ႈသိုဝ်ႈ"
64, ဢၢတ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ - ဢၢတ်, "ၶၢႆသၢတ်ႇတီႈၼႂ်းၵၢတ်ႇ ၵႂႃႇလၢတ်ႈႁႃလွႆးလွႆး ယႃႇႁႂ်ႈလႆႈၽၢတ်ႇၵၼ် ၸိူဝ်ႉၸၢတ်ႈၶိူဝ်းၵူၼ်းႁဝ်း ဝၢတ်ႈပၢင်ၵႂၢင်ႈၵႂၢင်ႈလႄႈ"
65, ဢိတ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "ဢဝ်မိတ်ႈဝိတ်ႉမႃးတႃႉ ႁဝ်းတေလိတ်ႉၵိင်ႇမႆႉ ယႃႇပေလၢတ်ႈၵႂၢမ်းၽိတ်း ၾႆးၶိတ်ႇထုပ်ႉၵႃႈႁိုဝ်? လိတ်ႈတူၺ်းလီလီလႄႈ"
66, ဢဵတ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "လဵင်ႉပဵတ်းဝႆႉၼမ်ၼမ် ႁဵတ်းသင်ႁဵတ်းတႄႉတႄႉ ယူႇတဵတ်ႇတဵတ်ႇယဵၼ်ယဵၼ် ပဵၼ်ႁိုဝ်ၵေႃႈဢမ်ႇသဵတ်ႈ သူမေႃသၢၼ်ပဵတ်ႈႁႃႉ?"
67, ဢႅတ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "ၽႂ်ပဵၼ်တႆးၸႅတ်ႈၸႅတ်ႈ ယႃႇပေပႅတ်ႈၸ်ိူဝ်ႉၶိူဝ်း ႁဵတ်းသင်ႁဵတ်းတႅတ်ႈၼႅတ်ႈ ႁိူဝ်ႈလႅင်းမိူၼ်သၢႆလႅတ်ႇ ၵႅတ်းပႅတ်ႈၼိပ်ႉမိုဝ်းသူ"
68, ဢုတ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "ၵၢင်သုတ်းဝႆႉထႃႈလႄႈ ယႃႇပေလုတ်ႇယႃႈၽိၼ်ႇ မေႃႇသႅင်မီးမိူင်းၵုတ်ႈ ၵူဝ်လုတ်ႈမိုဝ်ႉလုတ်ႈယၢမ်း သုတ်ႉမႃးၸမ်ၸမ်တႃႉ"
69, ဢူတ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "ၶုတ်ႇၼူတ်ႇမူတ်းမူတ်း ၼမ်ႉမႆႈဢမ်ႇပႆႇၽူတ်ႉ ယႃႇပေၼႅတ်ႈႁူတ်းၾႆး ဝူတ်ႈၶႅၼ်သိူဝ်ႈသေလႄႈ ၵူၼ်းၸႂ်ၵူတ်ႉဢမ်ႇလီ"
70, ဢွတ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "ယွတ်ႈမႆႉၽွတ်ႉပွတ်းၼႃႇ ၸၢႆးယွတ်ႈႁႃဝူဝ်းလွတ်ႈ ႁႃတူၺ်းႁႂ်ႈၸွတ်ႇၸွတ်ႇ ႁွတ်ႈၽႅဝ်တူၼ်ႈမႆႉၼွတ်ႈ ၸၢႆးဢွတ်ႉထွတ်ႇဢုတ်ႇယူႇ"
71, ဢိုတ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, " ၸွႆႈၵၼ်တိုတ်ႉႁႂ်ႈပႄႉ ယႃႇပေၵူဝ်ယၢပ်ႇၽိုတ်ႇ ၶဝ်ၵိုတ်းပႂ်ႉႁဝ်းယူႇ ၵႂႃႇႁႂ်ႈၶိုတ်းၶဝ်လႄႈ လီမိုတ်ႈၵၼ်တႄႉတႄႉ"
72, ဢိူတ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "ႁိူတ်ႈၶူပ်းၼႆႉဢမ်ႇလီ ပဵၼ်ဝၢၼ်ႈၵိူတ်ႇမိူင်းၼွၼ်း ၼိူဝ်ႉလိူတ်ႈၶိူဝ်းၵူၼ်းႁဝ်း မၼ်းဢမ်ႇၸႂ်ႈမႆႉမိူတ်ႇ သူၵိူတ်ႇမိူဝ်ႈပီႊလႂ်?"
